Sr.No.,Locality,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
9757,Anandpuri,-86.45912385,3.293776044,85.9853782,4G,-90.82095812,-92.87631,-86.61076654
9758,Kidwaipuri,-92.2499661,5.101067854,85.05184751,4G,-88.46158908,-101.9163433,-93.27795472
9759,Danapur,-100.1442082,2.676961263,142.0735742,LTE,-103.7025931,-109.3382117,-98.93164769
9760,Phulwari Sharif,-86.79438403,2.144014084,128.0520318,LTE,-85.92529749,-96.02407327,-87.19074509
9761,Boring Canal Road,-92.69846598,4.423519896,61.76492733,4G,-88.58169917,-98.52764527,-93.10383735
9762,S.K. Puri,-98.25816353,46.58494702,32.41792434,5G,-99.08240634,-104.8813286,-96.26651592
9763,Bailey Road,-91.76288925,1.367860274,101.5922344,LTE,-88.44816597,-100.6171677,-91.0847323
9764,Fraser Road,-91.37450231,1.155343601,103.2849509,LTE,-93.80749519,-96.4966801,-91.8557477
9765,Exhibition Road,-88.39979468,8.193209315,75.19083488,4G,-91.84282944,-95.89469945,-89.94300106
9766,Rajendra Nagar,-89.5860369,96.4231247,22.30793474,5G,-91.52158689,-95.29371555,-92.22458309
9767,Gandhi Maidan,-100.6890959,59.83780442,39.93830343,5G,-102.0424855,-107.1797583,-103.6782765
9768,Ashok Rajpath,-90.61297948,2.304863463,182.6921086,LTE,-89.91482897,-99.68413249,-90.27944808
9769,Boring Road,-93.05799635,31.91734921,14.46425817,5G,-95.61298421,-99.23164819,-94.11984916
9770,Kidwaipuri,-91.56810384,2.024491711,174.4388018,LTE,-89.09645499,-96.87097517,-94.07360037
9771,Gardanibagh,-90.51819072,8.470888684,88.72502931,4G,-86.17188823,-100.1266597,-90.3641204
9772,Patliputra Colony,-94.65271783,9.039275029,93.98330413,4G,-98.9267775,-101.2322007,-92.57470382
9773,Fraser Road,-85.44483252,1.719642389,183.6192378,LTE,-88.76620689,-93.34348839,-86.69869124
9774,Danapur,-101.3763457,25.66612183,49.54888214,5G,-99.81188432,-108.2221957,-100.8574026
9775,Anandpuri,-86.79054091,7.309870642,94.47830014,4G,-86.580398,-92.86675859,-86.034937
9776,Bailey Road,-82.36098489,1.275333929,182.8775526,LTE,-81.98532059,-91.92518843,-84.66732908
9777,Anandpuri,-90.78242797,11.55373747,18.20650768,5G,-92.3434078,-100.4741599,-93.76152739
9778,Kidwaipuri,-90.40005551,2.51750024,139.5919112,LTE,-86.58497721,-95.47739475,-90.33349656
9779,Pataliputra,-85.43296752,2.979522762,192.5612523,LTE,-89.92636774,-90.65329725,-86.10514185
9780,Anandpuri,-90.17035244,4.440619455,64.67340821,4G,-90.56942576,-98.68221153,-88.65009145
9781,Anandpuri,-96.36715089,1.013223154,132.7237376,LTE,-101.227322,-104.0518772,-95.26427634
9782,Boring Road,-92.89516103,8.792839092,64.48192427,4G,-93.64436657,-98.40175975,-91.00652422
9783,Gardanibagh,-84.96173484,2.237499424,113.2400605,LTE,-89.15014238,-93.79342277,-83.81575442
9784,S.K. Puri,-90.70121064,22.41792445,11.03752717,5G,-93.53696077,-98.32112872,-90.54342832
9785,Patliputra Colony,-93.06991194,2.451728248,167.0578068,LTE,-89.47094274,-98.69342252,-95.5312498
9786,Gandhi Maidan,-84.80445141,2.116561152,159.7564219,LTE,-86.12907629,-90.42867593,-84.63953102
9787,Danapur,-88.98622461,31.024849,24.72379837,5G,-92.29193518,-97.63099413,-91.52405779
9788,Kumhrar,-97.44094323,15.35162597,22.93178396,5G,-99.63902977,-103.5321373,-96.43882351
9789,Kidwaipuri,-92.96396715,2.766469786,190.6376437,LTE,-93.36329368,-100.3172002,-91.30254788
9790,Fraser Road,-90.55031435,6.52587154,92.61321024,4G,-93.6816371,-95.94476765,-88.12728548
9791,Kankarbagh,-90.40423078,7.987142549,62.65695053,4G,-93.55812553,-96.24932179,-90.0478874
9792,Exhibition Road,-92.34191311,3.615549103,69.34807005,4G,-88.97395024,-102.0683269,-91.8316377
9793,Bankipore,-85.47002058,1.284138619,189.6229631,LTE,-81.71319987,-90.87832163,-82.96780097
9794,Danapur,-92.76578121,1.746984978,142.014791,LTE,-93.00763118,-98.53771256,-90.04389242
9795,S.K. Puri,-99.11668386,52.57267085,24.98096552,5G,-95.32500947,-107.212303,-101.1247755
9796,Boring Road,-90.67081181,1.089612621,112.9347436,LTE,-87.83914074,-100.5156166,-93.09355602
9797,Phulwari Sharif,-93.08373103,1.467771955,171.9215426,LTE,-92.70762646,-98.10465699,-95.4060946
9798,Anandpuri,-94.96731331,62.81968619,15.79606099,5G,-98.74461604,-103.3198924,-95.45493343
9799,Kidwaipuri,-98.44376074,37.6378522,37.87703916,5G,-94.08116187,-104.0960371,-100.2986079
9800,Bankipore,-85.51939339,2.565902611,199.194975,LTE,-84.66857156,-93.70588772,-84.66531053
9801,Anandpuri,-90.04800077,1.202902313,146.1381432,LTE,-86.49503269,-97.04610718,-89.73741237
9802,Bankipore,-92.96733824,6.064417636,87.99661925,4G,-90.76979603,-102.7119517,-90.63739127
9803,Kidwaipuri,-93.34285502,66.8611796,22.82365578,5G,-90.64404981,-99.04588489,-90.39125549
9804,Rajendra Nagar,-93.82401334,9.768075127,60.86743737,4G,-93.76240799,-102.6191692,-91.40745315
9805,Gandhi Maidan,-95.59988003,5.896284058,76.35327404,4G,-91.10296879,-104.3226481,-93.27410236
9806,S.K. Puri,-95.73025034,4.626821641,66.51555554,4G,-94.06377173,-102.1407682,-93.16563329
9807,Boring Road,-84.4823164,2.227826757,152.1504372,LTE,-82.55958038,-89.84501157,-83.72014769
9808,Fraser Road,-90.18665164,37.92235988,48.32611658,5G,-88.59725476,-95.85583154,-89.00856847
9809,Boring Road,-92.36961147,46.01683968,46.99439187,5G,-90.63442021,-102.0675051,-91.4123028
9810,Pataliputra,-88.72832332,2.713512985,148.3252723,LTE,-87.31769585,-95.41494504,-85.88977621
9811,Kankarbagh,-88.30463518,1.679251326,169.8832384,LTE,-91.93467637,-97.28079303,-90.30919036
9812,Kankarbagh,-95.72176059,19.38676845,45.55383135,5G,-92.6926328,-105.3124137,-93.38144231
9813,Ashok Rajpath,-93.41437413,6.651474476,69.50315827,4G,-97.08188879,-102.6862643,-95.4914743
9814,Gandhi Maidan,-94.40760541,92.2661495,21.15177705,5G,-99.13879774,-104.085742,-94.32568163
9815,Boring Road,-90.87474471,1.935399293,183.8977058,LTE,-94.0521387,-99.69639414,-89.51315676
9816,Rajendra Nagar,-93.90902038,6.954228501,52.78570572,4G,-97.76049795,-101.1203755,-94.97956225
9817,Pataliputra,-92.39375011,69.69247909,12.29886486,5G,-91.17300637,-99.14988201,-91.69176319
9818,Kidwaipuri,-87.93591218,6.611616887,62.68146711,4G,-85.5253272,-97.1924529,-89.44194945
9819,Kankarbagh,-97.1528469,29.09208202,30.46914529,5G,-101.2883614,-103.7123743,-95.97211593
9820,Patliputra Colony,-86.47465065,4.499603808,61.82467921,4G,-85.86787985,-95.81702175,-87.65218899
9821,Patliputra Colony,-90.64942254,8.798929004,76.30968202,4G,-93.64453783,-99.71843309,-88.66246846
9822,Danapur,-91.27010917,7.245296096,92.46498408,4G,-87.32403534,-97.6299978,-91.70224044
9823,Gardanibagh,-97.72322114,13.81184434,13.0718278,5G,-97.59454804,-106.7969177,-98.69667521
9824,Rajendra Nagar,-93.32434134,5.103944837,93.08142573,4G,-96.21905663,-102.1659176,-95.87875608
9825,Anandpuri,-85.28755662,3.711545025,71.57709691,4G,-83.00664366,-91.54781978,-84.73730584
9826,Rajendra Nagar,-90.3752024,13.65446024,31.88686657,5G,-94.07987955,-99.56821188,-91.81065902
9827,Boring Road,-93.98865937,1.330717329,106.0734543,LTE,-96.49682441,-99.9156928,-92.31078776
9828,Pataliputra,-89.06851615,1.957364623,112.9032821,LTE,-92.36844136,-96.23984446,-91.82205756
9829,Gardanibagh,-90.16991776,2.351540101,130.0199485,LTE,-94.19320608,-95.83250621,-91.35046096
9830,Boring Canal Road,-89.36246435,5.832145172,62.99947548,4G,-89.26570401,-95.73861505,-87.00970731
9831,Danapur,-93.70853762,1.108524703,155.7025975,LTE,-94.86798335,-101.470303,-96.56649306
9832,Kumhrar,-100.5201845,69.32264881,14.27112323,5G,-97.64380397,-107.4925091,-101.4379767
9833,Pataliputra,-92.49370649,43.90216905,46.98231924,5G,-92.93323447,-98.67111652,-91.68477915
9834,Boring Road,-86.13090232,1.736345088,113.784955,LTE,-89.9167638,-93.6010637,-84.25371518
9835,Patliputra Colony,-93.07319292,7.727116531,73.0668652,4G,-96.91475006,-102.5158352,-92.61992204
9836,Kumhrar,-95.1681412,2.329706815,169.7913831,LTE,-99.62020843,-103.5668417,-92.30399077
9837,Kankarbagh,-83.76943018,2.946417951,150.5133193,LTE,-81.0516889,-91.15345121,-81.84756166
9838,Kankarbagh,-86.70886533,1.85494828,199.8153004,LTE,-84.91897761,-94.37580345,-86.55816251
9839,Kankarbagh,-88.15185602,1.67707976,197.0128847,LTE,-86.05584452,-93.96692836,-86.54590329
9840,Kumhrar,-102.1963332,57.18924849,15.8591022,5G,-99.62732306,-107.7759247,-103.8143231
9841,Bankipore,-87.25276055,2.188543823,131.7249711,LTE,-85.90887418,-92.92297797,-85.06287578
9842,Boring Road,-93.51557159,3.853444668,61.64824078,4G,-98.50349977,-100.1912543,-95.69445975
9843,Ashok Rajpath,-94.48244123,7.856296535,66.65582197,4G,-99.40355395,-102.9953293,-93.84107711
9844,Gardanibagh,-93.85518004,2.880204745,102.8978075,LTE,-95.22847266,-100.8668076,-96.57155025
9845,Rajendra Nagar,-82.27719612,2.681432065,128.2280754,LTE,-78.85877506,-89.00624974,-84.28316825
9846,Gardanibagh,-94.94724092,58.87329055,41.43382398,5G,-97.3037586,-102.4255751,-97.16047238
9847,Gardanibagh,-92.32746601,3.179374859,77.39438408,4G,-94.09927606,-101.8757627,-91.80460537
9848,Fraser Road,-79.56978594,2.990245421,196.7060986,LTE,-75.20549523,-84.81174015,-77.65664269
9849,Patliputra Colony,-91.03410306,4.157100765,78.92373515,4G,-89.30323025,-96.73597059,-90.27473248
9850,Gandhi Maidan,-93.50305984,56.92827029,25.06953692,5G,-95.0896372,-100.1056711,-93.44783874
9851,Danapur,-88.64791464,1.279644928,137.0114199,LTE,-88.71652962,-98.45203565,-91.10525803
9852,Anisabad,-92.97835625,12.74229976,44.96792573,5G,-94.10569883,-102.4799064,-91.89643028
9853,Pataliputra,-95.92684604,9.395804746,57.13725104,4G,-92.01578539,-103.2659027,-93.5842812
9854,Ashok Rajpath,-91.4574772,5.307454978,89.00796426,4G,-91.54243891,-99.84983776,-90.32569321
9855,Ashok Rajpath,-99.36021814,60.88016553,48.81749087,5G,-103.0568293,-108.4223909,-99.54634721
9856,Anisabad,-88.17927985,1.547777126,101.8551419,LTE,-88.22562332,-95.8264894,-86.00901129
9857,Kankarbagh,-94.93679351,7.134735268,90.81940677,4G,-97.63116646,-103.057338,-93.04946247
9858,Gardanibagh,-93.63382577,2.544340672,173.7837242,LTE,-95.05209181,-103.0180197,-96.11515209
9859,Bankipore,-99.50956674,2.134383457,150.6568481,LTE,-96.77811631,-105.2045108,-100.9097711
9860,Gandhi Maidan,-88.15708588,23.10549923,21.21504122,5G,-88.52025406,-96.42413721,-89.75447675
9861,Kumhrar,-93.31957482,32.13800054,23.7680644,5G,-94.45137582,-98.6135504,-94.11511006
9862,Ashok Rajpath,-89.28388678,9.591677071,92.40584208,4G,-89.41880591,-95.64041271,-91.08548956
9863,Phulwari Sharif,-89.14149421,4.96986975,82.36820448,4G,-85.22716743,-96.47329818,-90.12189059
9864,Exhibition Road,-87.72592572,1.81923309,100.2668799,LTE,-90.78215343,-93.40039503,-90.30038645
9865,Fraser Road,-93.12514371,2.870051727,125.8166464,LTE,-89.28065554,-101.1659504,-93.99017388
9866,Boring Canal Road,-94.4273657,1.975879027,127.9370692,LTE,-98.2158559,-102.5035343,-92.65505196
9867,Exhibition Road,-85.34617489,1.907531581,142.4314061,LTE,-81.21943798,-92.01544886,-88.17402175
9868,Gandhi Maidan,-86.75568679,5.506498904,91.7598837,4G,-82.4573616,-96.5928877,-87.86427965
9869,Phulwari Sharif,-90.15119577,2.269443346,143.2542583,LTE,-91.26720274,-96.10101882,-91.05088545
9870,Ashok Rajpath,-94.60173236,5.642570222,74.74167938,4G,-92.22543026,-100.9873745,-93.20901217
9871,Pataliputra,-99.3029259,96.42934634,38.3307073,5G,-98.40972594,-108.1488402,-99.40789043
9872,Bankipore,-94.7366091,9.930488309,77.48557539,4G,-91.09030407,-100.7212568,-96.90208039
9873,Danapur,-95.28003728,2.702738014,118.196158,LTE,-90.41335122,-101.5712789,-92.37251225
9874,Kumhrar,-89.98837976,1.067053975,118.2260976,LTE,-88.05802341,-96.3807384,-88.35131675
9875,Pataliputra,-83.04635345,2.077066107,174.738698,LTE,-78.1879071,-88.52535683,-83.82657438
9876,Pataliputra,-97.62568727,61.57302174,21.08971964,5G,-98.24886454,-107.5678648,-99.13967457
9877,Boring Canal Road,-92.26626058,88.66790881,48.21758725,5G,-92.97184157,-100.6646861,-90.1453656
9878,S.K. Puri,-91.59769496,20.12240342,24.04501374,5G,-94.06067959,-101.0562857,-94.1431668
9879,Patliputra Colony,-96.19790548,54.02854966,43.54283375,5G,-95.28442622,-101.9104424,-94.63851971
9880,Danapur,-96.44618712,2.473442456,120.5156553,LTE,-101.4322281,-103.8197711,-97.54149076
9881,Exhibition Road,-83.14907946,2.460636637,187.9624806,LTE,-80.77571156,-88.58323434,-84.49867383
9882,Bailey Road,-91.78761029,3.929263802,62.14958648,4G,-86.85055152,-97.21085627,-89.55758399
9883,Anandpuri,-95.76087566,25.73939693,24.94653717,5G,-95.6057067,-101.9305245,-95.36176929
9884,Gandhi Maidan,-80.45239304,7.751438635,75.80653352,4G,-75.95761463,-89.55059504,-80.25780059
9885,Kumhrar,-88.24041214,5.830986465,51.47154052,4G,-89.21671914,-96.97886397,-87.59624514
9886,Kankarbagh,-86.0943572,1.503616037,154.6110435,LTE,-90.33556718,-93.09843282,-86.89637472
9887,Fraser Road,-88.46084597,72.07614859,23.87012119,5G,-84.46855649,-96.43001304,-85.74039719
9888,Kumhrar,-88.83416526,2.128417302,157.3596912,LTE,-85.6761513,-96.71269784,-89.61820009
9889,S.K. Puri,-91.44980165,8.131613508,50.4478095,4G,-89.67834708,-97.74205799,-91.77914928
9890,Rajendra Nagar,-89.970211,4.473820139,61.00044938,4G,-94.88727968,-96.74855757,-87.47445875
9891,Kumhrar,-86.53530169,7.043168481,93.09377798,4G,-81.94119503,-96.24922522,-88.33646078
9892,Kumhrar,-92.16325237,1.110961489,128.4694982,LTE,-94.54384357,-99.20458741,-93.24558226
9893,Anisabad,-91.5843224,2.05968665,144.8593015,LTE,-86.73220131,-97.46430779,-88.7042722
9894,Anandpuri,-88.99954787,78.13444948,29.85478651,5G,-91.64297207,-96.07659618,-86.40104861
9895,Bailey Road,-84.10284189,9.500194237,77.5567299,4G,-86.51725811,-89.48539453,-82.4050857
9896,Boring Canal Road,-94.07088224,65.77504856,42.15912404,5G,-94.50680941,-103.6896294,-96.49711598
9897,Rajendra Nagar,-79.02463906,9.877582285,78.37660062,4G,-81.79221707,-87.50380679,-79.99019668
9898,Pataliputra,-99.49361357,1.521807919,193.0434487,LTE,-96.75895963,-109.2544364,-99.16438425
9899,Exhibition Road,-99.39494023,3.317323931,76.73835247,4G,-98.39134788,-105.4313742,-98.48592993
9900,Gardanibagh,-96.39363512,18.20025009,32.53773902,5G,-98.49675011,-105.1540175,-97.49982855
9901,Kumhrar,-92.75606248,78.6508884,16.97588008,5G,-95.98449784,-99.97969609,-94.14580238
9902,Pataliputra,-90.35702527,5.08107718,59.63155205,4G,-86.70650349,-100.0267181,-87.5367034
9903,Boring Road,-91.47042655,35.13244777,19.31811158,5G,-92.91178848,-99.32398057,-93.7919081
9904,Danapur,-98.09111789,9.226354327,55.4569137,4G,-101.8676165,-106.4971188,-98.29141912
9905,Bailey Road,-91.01619269,2.546961611,178.6735453,LTE,-92.31078602,-100.5158893,-88.07311629
9906,Anisabad,-99.04109347,61.39209535,28.43569543,5G,-101.8164001,-105.5513547,-98.88298894
9907,Kumhrar,-89.07050049,1.806209185,111.7427289,LTE,-90.75373577,-98.2709007,-91.34758927
9908,Pataliputra,-92.55522897,2.735628607,196.0005871,LTE,-95.09238177,-99.63368303,-89.75986641
9909,Exhibition Road,-94.79873794,2.041410037,187.2811216,LTE,-93.53027185,-101.5493853,-94.08479736
9910,S.K. Puri,-87.92689105,2.55464149,134.2511364,LTE,-84.43584815,-97.17865913,-87.08322084
9911,Anisabad,-88.87439078,3.49957618,61.94021706,4G,-90.63372222,-97.88628387,-87.59147827
9912,Boring Road,-91.49911238,9.033072624,76.39425385,4G,-89.50534072,-99.88009752,-88.63380182
9913,Kankarbagh,-96.25939814,97.78347363,49.02531333,5G,-96.21573462,-102.0127965,-97.2461018
9914,Patliputra Colony,-87.30963387,2.800197212,195.3578102,LTE,-82.50140986,-97.05957669,-86.09024542
9915,Anisabad,-87.22589428,2.464934065,103.2264644,LTE,-88.45313584,-93.87570162,-88.46584789
9916,Boring Road,-92.94936439,4.681140216,76.01339492,4G,-93.81348857,-99.48228356,-94.54916399
9917,Kumhrar,-100.5077537,92.97869476,17.73771357,5G,-104.3354217,-105.8092157,-101.7624121
9918,Gandhi Maidan,-100.8627194,23.15896971,46.69257251,5G,-98.6361812,-106.897925,-102.1927845
9919,Anandpuri,-90.31739624,4.202367646,74.27635336,4G,-85.88364437,-98.72277313,-90.28400308
9920,Gandhi Maidan,-86.50305491,1.061871394,138.4771477,LTE,-88.12285069,-91.93637621,-89.08670143
9921,Fraser Road,-82.90690061,2.55225748,156.5526899,LTE,-80.80628211,-90.69567651,-85.13221202
9922,Danapur,-95.63814,92.76365814,10.43577305,5G,-96.14657568,-102.5415525,-95.22542285
9923,Kumhrar,-96.39220333,50.77557545,41.29823118,5G,-91.59456895,-103.3480177,-98.41640386
9924,Patliputra Colony,-93.88170887,6.505281039,68.69145664,4G,-97.82074469,-102.9922833,-95.58059319
9925,Patliputra Colony,-93.41518147,2.494545072,114.0910876,LTE,-94.26752097,-100.7682838,-95.90138416
9926,Boring Canal Road,-98.38984049,88.56782934,19.61655638,5G,-96.66671438,-107.2186856,-101.3797131
9927,Gardanibagh,-92.39944646,5.310886192,64.88423648,4G,-89.32679204,-100.5578683,-94.85590747
9928,Anandpuri,-86.14990813,1.628025517,113.8291596,LTE,-86.59054431,-92.80214852,-87.59626306
9929,Ashok Rajpath,-88.35543303,2.300323305,194.7967518,LTE,-87.47323246,-95.4796021,-86.96571732
9930,Rajendra Nagar,-81.44107722,2.051066091,157.2865764,LTE,-81.19439839,-90.78036967,-81.41568261
9931,Fraser Road,-99.01492309,52.2102427,28.99035981,5G,-97.59334886,-106.278082,-98.89957157
9932,Patliputra Colony,-93.26897507,24.1711353,36.6707022,5G,-97.92587821,-102.4498694,-90.3862979
9933,Ashok Rajpath,-94.96193032,1.611272338,153.8212447,LTE,-97.93008453,-102.4427088,-96.606782
9934,Ashok Rajpath,-96.78575624,3.928134255,86.47892523,4G,-94.72398222,-102.5522452,-94.66701317
9935,Bankipore,-93.52069673,3.431147398,98.34362272,4G,-93.33754578,-102.2404746,-92.62043974
9936,Pataliputra,-90.73758421,5.502043407,71.633162,4G,-87.94882333,-96.43401847,-92.09889527
9937,Fraser Road,-95.99021871,7.009678109,59.66678443,4G,-98.88892076,-104.5038018,-96.24897303
9938,Bankipore,-94.25561603,10.4460871,47.10056592,5G,-93.72703167,-103.2709,-96.33603572
9939,Bailey Road,-96.65281352,73.40203734,29.37586711,5G,-93.99586625,-104.9048299,-95.72734119
9940,Ashok Rajpath,-94.55189196,2.201440654,146.8814042,LTE,-93.89628848,-103.8694279,-92.79431482
9941,Ashok Rajpath,-91.38324786,2.945086211,108.8097665,LTE,-91.16244362,-100.1335521,-93.36787441
9942,Anisabad,-93.69209223,1.216261303,136.5456038,LTE,-90.96144132,-98.79177248,-96.33991534
9943,Kidwaipuri,-90.19493252,32.96772836,16.16823346,5G,-88.19147514,-100.0198978,-92.45322831
9944,Boring Canal Road,-90.29834973,3.001694091,62.67151453,4G,-93.10880768,-97.72114696,-89.42722473
9945,Anisabad,-88.13474708,2.708218845,153.6597343,LTE,-92.95957972,-96.73187715,-88.00041494
9946,Phulwari Sharif,-89.42712755,9.20016739,77.89275439,4G,-88.13592825,-98.26674715,-90.09124846
9947,Kumhrar,-99.91723236,50.90457215,39.48136343,5G,-96.64357203,-105.6549699,-99.2941434
9948,Gardanibagh,-91.7396944,7.694925824,66.22171247,4G,-90.92975775,-99.95814075,-94.33474232
9949,Bailey Road,-92.75963437,1.693843464,145.0156759,LTE,-95.40964115,-101.7246027,-91.89214591
9950,Bankipore,-83.31600751,9.477598053,70.16007445,4G,-80.0457005,-91.61019213,-80.75328085
9951,Bankipore,-90.35939801,4.228448792,60.32917196,4G,-91.6297677,-97.0671516,-90.77203301
9952,Gandhi Maidan,-86.9434983,5.58793516,55.29561779,4G,-86.61988598,-92.1393749,-84.45344103
9953,Rajendra Nagar,-90.96079461,6.546455372,67.93806058,4G,-87.77392206,-97.86535548,-88.06913861
9954,Exhibition Road,-92.22429729,4.781443614,71.75506844,4G,-91.83809176,-97.57341986,-94.56228027
9955,Rajendra Nagar,-86.14675746,3.284659641,62.74518595,4G,-89.71404875,-91.22972123,-83.43455376
9956,Fraser Road,-87.55941706,2.843848222,109.4522672,LTE,-89.68730826,-97.14784405,-85.62448555
9957,Rajendra Nagar,-87.60476424,11.28791832,25.31059181,5G,-89.68827873,-94.57598391,-87.26816724
9958,S.K. Puri,-90.39003351,33.07095841,43.83709924,5G,-93.92646399,-95.57648323,-90.62710316
9959,Kumhrar,-88.69878268,6.187516652,81.85394149,4G,-88.62215523,-97.64044715,-88.99891015
9960,Bankipore,-94.69674473,6.756065137,91.66928186,4G,-90.35002349,-101.7591555,-96.32038196
9961,S.K. Puri,-80.93995969,1.6092813,145.1878103,LTE,-78.05692583,-88.44279639,-82.83833925
9962,Pataliputra,-90.04148247,35.84710842,13.23536388,5G,-90.65686499,-97.51174181,-92.97726475
9963,Bailey Road,-83.62473385,3.626509345,78.0289896,4G,-83.67688086,-88.71265896,-83.68604021
9964,Anisabad,-85.78236347,2.794088581,178.0375569,LTE,-83.19168844,-94.72675357,-85.62451684
9965,Ashok Rajpath,-101.0155896,68.64974621,20.84212955,5G,-101.4753593,-106.8481447,-101.0430727
9966,Patliputra Colony,-88.05437149,1.466492161,111.1949163,LTE,-87.3317362,-94.08167746,-86.16460542
9967,Boring Road,-85.86644449,9.731087545,73.97429697,4G,-85.13501207,-90.99051091,-87.9365576
9968,Phulwari Sharif,-97.1682001,2.042446092,169.5745158,LTE,-92.4542677,-104.7313197,-97.85323952
9969,Exhibition Road,-87.32042387,3.899339892,57.34078354,4G,-86.36728168,-92.46602677,-85.32512549
9970,Ashok Rajpath,-87.89958926,1.45680445,178.2263333,LTE,-90.30851158,-96.30670019,-90.76921498
9971,Pataliputra,-99.54761106,43.08003278,13.29100552,5G,-98.1387806,-106.0277693,-98.55605157
9972,Fraser Road,-95.98950938,71.00418604,22.66509769,5G,-100.0381979,-104.0496796,-95.85675964
9973,Patliputra Colony,-97.45241523,10.01575676,29.34879794,5G,-98.09776199,-104.9381133,-98.29600799
9974,Danapur,-84.51884215,34.75245319,47.66091207,5G,-79.67636957,-91.38006625,-83.49849306
9975,Patliputra Colony,-85.54464225,5.679538151,75.08511473,4G,-83.71644095,-95.32576422,-84.31517768
9976,Anandpuri,-82.16890557,2.090293511,113.7210052,LTE,-85.374465,-91.63220722,-82.65266263
9977,Rajendra Nagar,-88.98113517,1.290778843,198.880807,LTE,-86.25887626,-96.11892103,-88.86232784
9978,Gandhi Maidan,-93.86244915,6.200349027,69.43941238,4G,-92.10704795,-102.6341371,-92.24376426
9979,Rajendra Nagar,-95.73209317,7.460550407,62.36600364,4G,-90.80872817,-101.2389993,-93.03088028
9980,Exhibition Road,-88.37053948,13.74226114,35.49544512,5G,-85.17601275,-95.60683296,-90.04732655
9981,Boring Canal Road,-89.76753045,9.285956845,53.65759501,4G,-87.58149142,-96.16250521,-88.23547303
9982,Bankipore,-91.06249209,33.84160203,30.27564515,5G,-86.5739658,-96.3032638,-89.20166178
9983,S.K. Puri,-99.7263585,68.39711263,20.61762421,5G,-98.74671968,-105.3610215,-97.35919241
9984,Ashok Rajpath,-87.93279165,1.593660242,134.9721533,LTE,-86.10694892,-94.11894347,-90.58578409
9985,S.K. Puri,-93.42511893,2.681982151,135.0145007,LTE,-95.18760948,-102.2619896,-91.03336039
9986,Anisabad,-85.3858333,1.143279424,142.6453277,LTE,-88.23767904,-95.37880704,-87.66970808
9987,Boring Canal Road,-92.4729087,1.776920227,151.6193969,LTE,-97.2941452,-102.4034076,-94.38622376
9988,Gandhi Maidan,-94.37014812,1.830555485,154.63624,LTE,-89.54611797,-104.0518405,-96.6656341
9989,Pataliputra,-96.53245523,81.80540184,25.77076885,5G,-97.89359429,-104.5477213,-95.17013589
9990,Boring Canal Road,-99.09946066,95.2151557,21.03692856,5G,-102.9638375,-108.7542987,-96.13556937
9991,Danapur,-85.65003117,1.976512989,111.787506,LTE,-88.48603389,-94.58206739,-85.44316127
9992,Gandhi Maidan,-95.41146936,90.62396049,44.07750519,5G,-96.25525229,-103.3933856,-93.29541473
9993,Kumhrar,-97.51763088,42.73786528,39.88249047,5G,-96.09194109,-103.4902988,-98.67788236
9994,S.K. Puri,-88.05159579,2.921151005,131.7895445,LTE,-89.91188304,-96.07374057,-86.8451244
9995,Gandhi Maidan,-90.15038499,2.648404447,173.90704,LTE,-92.04050273,-96.92675268,-87.19541504
9996,Boring Canal Road,-89.24709343,2.932332004,162.9513586,LTE,-89.66575027,-95.78250256,-88.36600747
9997,Patliputra Colony,-95.49896245,37.20215489,14.80148918,5G,-91.95663302,-100.9860349,-95.96130017
9998,Gandhi Maidan,-88.60958511,4.032807801,58.44701789,4G,-88.59778768,-98.19296443,-91.32789485
9999,Ashok Rajpath,-99.20417367,31.12024004,41.97545875,5G,-94.75018635,-104.4272528,-101.1204281
10000,Gandhi Maidan,-85.53240168,77.71711025,11.0255846,5G,-83.32309923,-91.19929405,-87.58483501
10001,Anisabad,-88.29124802,4.309983289,67.33962432,4G,-91.89741115,-93.4412389,-87.75402399
10002,Kumhrar,-87.82944203,4.034693654,82.47284829,4G,-91.60645019,-93.47266964,-85.80396753
10003,Patliputra Colony,-91.81702697,9.976773482,51.17718167,4G,-87.92280633,-100.3921904,-89.50731345
10004,Anisabad,-86.09452964,1.424185797,163.4628287,LTE,-90.87468588,-92.92609045,-86.20332542
10005,Kidwaipuri,-86.54752793,33.82203362,26.46705605,5G,-88.70620736,-96.22752359,-89.22543892
10006,Exhibition Road,-93.24607554,31.07385382,48.533509,5G,-95.92755731,-100.6043915,-91.60099181
10007,Phulwari Sharif,-102.8898518,57.83591843,38.4199669,5G,-107.353922,-110.8675425,-105.0226289
10008,Anandpuri,-84.86355975,1.613391748,150.5707997,LTE,-85.94932918,-94.32794934,-85.90396981
10009,Anandpuri,-88.46173535,1.08388102,194.0098052,LTE,-84.84521928,-97.17777065,-91.03042966
10010,Exhibition Road,-94.06859027,1.601417059,165.0937817,LTE,-92.35176929,-101.1774138,-94.77663445
10011,Ashok Rajpath,-89.36760412,1.552178064,136.1912415,LTE,-88.06385094,-95.18082138,-91.91606793
10012,Bankipore,-93.94070104,6.926733095,63.05391221,4G,-96.47066985,-103.6899942,-91.43547753
